"ID","Gene","TO_annotation","TO_ID"
"20283","GRMZM2G155991","plant structure growth and development trait","TO:0000928"
"20284","GRMZM2G155991","shoot system growth and development trait","TO:0000654"
"20285","GRMZM2G155991","inflorescence development trait","TO:0006027"
"20286","GRMZM2G155991","inflorescence branching","TO:0000050"
"20287","GRMZM2G155991","inflorescence branch arrangement","TO:0002751"
"20288","GRMZM2G129147","plant growth and development trait","TO:0000357"
"20289","GRMZM2G129147","plant structure growth and development trait","TO:0000928"
"20290","GRMZM2G129147","shoot system growth and development trait","TO:0000654"
"20291","GRMZM2G129147","inflorescence development trait","TO:0006027"
"20292","GRMZM2G129147","inflorescence branching","TO:0000050"
"20293","GRMZM2G129147","inflorescence branch arrangement","TO:0002751"
"20294","GRMZM2G128092","plant growth and development trait","TO:0000357"
"20295","GRMZM2G128092","plant structure growth and development trait","TO:0000928"
"20296","GRMZM2G128092","shoot system growth and development trait","TO:0000654"
"20297","GRMZM2G128092","inflorescence development trait","TO:0006027"
"20298","GRMZM2G128092","inflorescence branching","TO:0000050"
"20299","GRMZM2G128092","inflorescence branch arrangement","TO:0002751"
"20300","GRMZM2G010323","plant growth and development trait","TO:0000357"
"20301","GRMZM2G010323","plant structure growth and development trait","TO:0000928"
"20302","GRMZM2G010323","shoot system growth and development trait","TO:0000654"
"20303","GRMZM2G010323","inflorescence development trait","TO:0006027"
"20304","GRMZM2G010323","inflorescence branching","TO:0000050"
"20305","GRMZM2G010323","inflorescence branch arrangement","TO:0002751"
"20306","GRMZM2G303768","plant growth and development trait","TO:0000357"
"20307","GRMZM2G303768","plant structure growth and development trait","TO:0000928"
"20308","GRMZM2G303768","shoot system growth and development trait","TO:0000654"
"20309","GRMZM2G303768","inflorescence development trait","TO:0006027"
"20310","GRMZM2G303768","inflorescence branching","TO:0000050"
"20311","GRMZM2G303768","inflorescence branch arrangement","TO:0002751"
"20312","GRMZM2G004709","plant growth and development trait","TO:0000357"
"20313","GRMZM2G004709","plant structure growth and development trait","TO:0000928"
"20314","GRMZM2G004709","shoot system growth and development trait","TO:0000654"
"20315","GRMZM2G004709","inflorescence development trait","TO:0006027"
"20316","GRMZM2G004709","inflorescence branching","TO:0000050"
"20317","GRMZM2G004709","inflorescence branch arrangement","TO:0002751"
"20318","GRMZM2G325907","plant growth and development trait","TO:0000357"
"20319","GRMZM2G325907","plant structure growth and development trait","TO:0000928"
"20320","GRMZM2G325907","shoot system growth and development trait","TO:0000654"
"20321","GRMZM2G325907","inflorescence development trait","TO:0006027"
"20322","GRMZM2G325907","inflorescence branching","TO:0000050"
"20323","GRMZM2G325907","inflorescence branch arrangement","TO:0002751"
"20324","GRMZM2G061879","plant growth and development trait","TO:0000357"
"20325","GRMZM2G061879","plant structure growth and development trait","TO:0000928"
"20326","GRMZM2G061879","shoot system growth and development trait","TO:0000654"
"20327","GRMZM2G061879","inflorescence development trait","TO:0006027"
"20328","GRMZM2G061879","inflorescence branching","TO:0000050"
"20329","GRMZM2G061879","inflorescence branch arrangement","TO:0002751"
"20330","GRMZM2G075019","plant growth and development trait","TO:0000357"
"20331","GRMZM2G075019","plant structure growth and development trait","TO:0000928"
"20332","GRMZM2G075019","shoot system growth and development trait","TO:0000654"
"20333","GRMZM2G075019","inflorescence development trait","TO:0006027"
"20334","GRMZM2G075019","inflorescence branching","TO:0000050"
"20335","GRMZM2G075019","inflorescence branch arrangement","TO:0002751"
"20336","GRMZM2G327234","plant growth and development trait","TO:0000357"
"20337","GRMZM2G327234","plant structure growth and development trait","TO:0000928"
"20338","GRMZM2G327234","shoot system growth and development trait","TO:0000654"
"20339","GRMZM2G327234","inflorescence development trait","TO:0006027"
"20340","GRMZM2G327234","inflorescence branching","TO:0000050"
"20341","GRMZM2G327234","inflorescence branch arrangement","TO:0002751"
"20342","GRMZM2G465208","plant growth and development trait","TO:0000357"
"20343","GRMZM2G465208","plant structure growth and development trait","TO:0000928"
"20344","GRMZM2G465208","shoot system growth and development trait","TO:0000654"
"20345","GRMZM2G465208","inflorescence development trait","TO:0006027"
"20346","GRMZM2G465208","inflorescence branching","TO:0000050"
"20347","GRMZM2G465208","inflorescence branch arrangement","TO:0002751"
