"ID","gene","GO_id"
"352","GRMZM5G869403","GO:0005886"
"353","GRMZM5G869403","GO:0005829"
"354","GRMZM2G160351","GO:0005840"
"355","GRMZM2G160351","GO:0003735"
"356","GRMZM2G160351","GO:0005622"
"357","GRMZM2G044060","GO:0005829"
"358","GRMZM2G044060","GO:0005515"
"359","GRMZM2G160356","GO:0016020"
"360","GRMZM2G160356","GO:0016780"
"361","GRMZM2G178886","GO:0009055"
"362","GRMZM5G835629","GO:0016021"
"363","GRMZM5G835629","GO:0005524"
"364","GRMZM2G056403","GO:0005488"
"365","GRMZM5G844739","GO:0005524"
"366","GRMZM2G139624","GO:0016841"
"367","GRMZM2G139624","GO:0016192"
"368","GRMZM2G139624","GO:0003824"
"369","GRMZM2G139624","GO:0009058"
"370","GRMZM2G071970","GO:0005794"
"371","GRMZM2G071970","GO:0046658"
"372","GRMZM2G071970","GO:0005886"
"373","GRMZM2G165320","GO:0005777"
"374","GRMZM2G165320","GO:0003995"
"375","GRMZM2G165320","GO:0003997"
"376","GRMZM2G494034","GO:0005515"
"377","GRMZM2G145107","GO:0005794"
"378","GRMZM2G145107","GO:0008515"
"379","GRMZM2G145107","GO:0016021"
"380","AC214360.3_FG001","GO:0051501"
"381","AC214360.3_FG001","GO:0010333"
"382","AC214360.3_FG001","GO:0005739"
"383","AC214360.3_FG001","GO:0016829"
"384","GRMZM2G145101","GO:0016829"
"385","GRMZM2G145101","GO:0015976"
"386","GRMZM2G112609","GO:0016021"
"387","GRMZM2G112609","GO:0016020"
"388","GRMZM2G112609","GO:0005783"
"389","GRMZM2G112609","GO:0005789"
"390","AC193598.3_FG002","GO:0043531"
"391","GRMZM2G145109","GO:0016772"
"392","GRMZM2G145109","GO:0000166"
"393","GRMZM2G145109","GO:0005509"
"394","GRMZM2G145109","GO:0005515"
"395","GRMZM2G145109","GO:0005524"
"396","GRMZM2G138861","GO:0042742"
"397","GRMZM2G138861","GO:0009414"
"398","GRMZM2G138861","GO:0005737"
"399","GRMZM2G138861","GO:0040007"
"400","GRMZM2G138861","GO:0005634"
"401","GRMZM2G138861","GO:0005985"
"402","GRMZM2G138861","GO:0000166"
"403","GRMZM2G138861","GO:0005524"
"404","GRMZM2G138861","GO:0005829"
"405","GRMZM2G161009","GO:0006355"
"406","GRMZM2G161009","GO:0043565"
"407","GRMZM2G171373","GO:0006096"
"408","GRMZM2G171373","GO:0005773"
"409","GRMZM2G171373","GO:0005634"
