"moduleID","gene#","genelist"
"150","13","LOC_Os08g08586 LOC_Os08g32620 LOC_Os01g26130 LOC_Os09g22280 LOC_Os08g08080 LOC_Os02g45490 LOC_Os04g31140 LOC_Os02g07920 LOC_Os08g45240 LOC_Os02g04610 LOC_Os02g49670 LOC_Os11g40610 LOC_Os11g47920"
"151","13","LOC_Os12g02660 LOC_Os01g65094 LOC_Os08g09190 LOC_Os03g02410 LOC_Os12g16524 LOC_Os02g54090 LOC_Os12g31790 LOC_Os05g15040 LOC_Os01g04650 LOC_Os09g03620 LOC_Os06g15990 LOC_Os12g36770 LOC_Os05g12260"
"152","13","LOC_Os10g41150 LOC_Os07g47180 LOC_Os02g56910 LOC_Os08g07300 LOC_Os09g36480 LOC_Os11g10760 LOC_Os07g37680 LOC_Os02g51420 LOC_Os08g27630 LOC_Os09g13630 LOC_Os02g10230 LOC_Os02g21269 LOC_Os02g07420"
"153","13","LOC_Os03g33012 LOC_Os03g24900 LOC_Os05g47930 LOC_Os03g07130 LOC_Os07g46710 LOC_Os06g12580 LOC_Os03g16740 LOC_Os06g01390 LOC_Os05g01560 LOC_Os01g07760 LOC_Os01g43410 LOC_Os10g37880 LOC_Os05g34050"
"154","13","LOC_Os01g70160 LOC_Os06g38940 LOC_Os04g41910 LOC_Os01g54784 LOC_Os05g41530 LOC_Os02g35160 LOC_Os01g15010 LOC_Os02g32110 LOC_Os03g25770 LOC_Os05g03910 LOC_Os12g18860 LOC_Os04g51080 LOC_Os12g32986"
"155","13","LOC_Os07g06130 LOC_Os09g04800 LOC_Os02g17470 LOC_Os07g09000 LOC_Os06g25294 LOC_Os04g40874 LOC_Os12g42980 LOC_Os08g44210 LOC_Os08g01290 LOC_Os09g33630 LOC_Os04g03796.2 LOC_Os04g40030 LOC_Os01g56200"
"156","13","LOC_Os02g15880 LOC_Os02g03850 LOC_Os06g42720 LOC_Os12g36670 LOC_Os05g41120 LOC_Os03g43760 LOC_Os03g21720 LOC_Os08g04620 LOC_Os07g44610 LOC_Os01g67054 LOC_Os02g49080 LOC_Os07g48820 LOC_Os05g04700"
"157","12","LOC_Os07g34990 LOC_Os01g71700 LOC_Os11g07140 LOC_Os08g03240 LOC_Os02g49590 LOC_Os01g27480 LOC_Os09g09540 LOC_Os05g11300 LOC_Os04g55440 LOC_Os06g22340 LOC_Os01g26390 LOC_Os04g49500"
"158","12","LOC_Os01g46650 LOC_Os07g45210 LOC_Os01g46450 LOC_Os02g04750 LOC_Os05g02210 LOC_Os04g48950 LOC_Os03g48160 LOC_Os02g27790 LOC_Os08g43880 LOC_Os12g16650 LOC_Os01g40740 LOC_Os08g27640"
"159","12","LOC_Os08g41550 LOC_Os02g27810 LOC_Os08g38600 LOC_Os04g52770 LOC_Os08g31769 LOC_Os11g31420 LOC_Os09g23720 LOC_Os11g08370 LOC_Os02g51000 LOC_Os10g39500 LOC_Os07g36150 LOC_Os04g21660"
"16","170","LOC_Os02g54190 LOC_Os11g01730 LOC_Os11g42450 LOC_Os02g09620 LOC_Os07g39850 LOC_Os11g19480 LOC_Os09g27590 LOC_Os04g42100 LOC_Os07g41660 LOC_Os03g59240 LOC_Os01g57150 LOC_Os12g13300 LOC_Os01g57650 LOC_Os09g24810 LOC_Os02g36890 LOC_Os02g50040 LOC_Os01g33080 "
"160","12","LOC_Os08g37930 LOC_Os12g43440 LOC_Os04g41640 LOC_Os11g06980 LOC_Os04g41620 LOC_Os04g41680 LOC_Os12g43450 LOC_Os09g17560 LOC_Os01g28500 LOC_Os04g27670 LOC_Os03g42600 LOC_Os07g05360"
"161","12","LOC_Os12g38350 LOC_Os02g33380 LOC_Os04g31460 LOC_Os01g71210 LOC_Os07g41590 LOC_Os02g14890 LOC_Os12g38360 LOC_Os03g52880 LOC_Os08g34550 LOC_Os03g02660 LOC_Os03g04660 LOC_Os05g28520"
"162","12","LOC_Os06g49310 LOC_Os02g05686 LOC_Os01g72820 LOC_Os04g31900 LOC_Os05g32810 LOC_Os11g31620 LOC_Os03g40410 LOC_Os12g05090 LOC_Os05g41240 LOC_Os10g22950 LOC_Os03g61130 LOC_Os07g26210"
"163","12","LOC_Os03g08000 LOC_Os01g53000 LOC_Os08g06610 LOC_Os06g45840 LOC_Os06g30750 LOC_Os03g50620 LOC_Os01g65320 LOC_Os09g34070.2 LOC_Os01g09252 LOC_Os01g65310 LOC_Os04g56480 LOC_Os04g38970"
"164","12","LOC_Os07g25450 LOC_Os04g54430 LOC_Os01g34190 LOC_Os11g06860 LOC_Os04g35070 LOC_Os03g27460 LOC_Os05g02260 LOC_Os03g54200 LOC_Os02g02270 LOC_Os03g60120 LOC_Os01g63420 LOC_Os07g39620"
"165","12","LOC_Os07g43460 LOC_Os08g30480 LOC_Os08g03370 LOC_Os04g32020 LOC_Os08g35740 LOC_Os01g48390 LOC_Os07g49030 LOC_Os08g16559 LOC_Os06g19690 LOC_Os02g52430 LOC_Os03g04000 LOC_Os03g04430"
"166","12","LOC_Os03g25070 LOC_Os03g15730 LOC_Os08g34140 LOC_Os01g55050 LOC_Os11g19130 LOC_Os09g32680 LOC_Os07g13270 LOC_Os01g05090 LOC_Os08g07830 LOC_Os03g15480 LOC_Os07g01910 LOC_Os03g59170"
"167","12","LOC_Os04g31700 LOC_Os10g39440 LOC_Os04g44840 LOC_Os03g13274 LOC_Os06g29380 LOC_Os01g10290 LOC_Os12g24170 LOC_Os12g02830 LOC_Os04g40520 LOC_Os10g41340 LOC_Os11g40410 LOC_Os11g16280"
"168","12","LOC_Os07g31280 LOC_Os06g44210 LOC_Os02g32160 LOC_Os03g09100 LOC_Os06g33570 LOC_Os02g48790 LOC_Os03g12350 LOC_Os03g24450 LOC_Os01g02200 LOC_Os07g31460 LOC_Os04g49510 LOC_Os06g51480"
"169","11","LOC_Os04g10800 LOC_Os11g01900 LOC_Os07g34190 LOC_Os11g08020 LOC_Os12g09770 LOC_Os02g17090 LOC_Os11g39680 LOC_Os11g46950 LOC_Os11g28104 LOC_Os09g18159 LOC_Os08g36540"
"17","157","LOC_Os01g50700 LOC_Os05g28350 LOC_Os08g36900 LOC_Os03g04080 LOC_Os12g27210 LOC_Os12g05330 LOC_Os02g25680 LOC_Os06g43910 LOC_Os07g49210 LOC_Os04g51796 LOC_Os02g29590 LOC_Os09g39730 LOC_Os03g06180 LOC_Os01g04660 LOC_Os05g48416 LOC_Os01g53650 LOC_Os09g20440 "
"170","11","LOC_Os07g30330 LOC_Os04g35250 LOC_Os04g56920 LOC_Os08g19694 LOC_Os02g12770 LOC_Os03g47830 LOC_Os02g16780 LOC_Os06g10790 LOC_Os01g66250 LOC_Os01g24500 LOC_Os02g17880"
"171","11","LOC_Os03g10310 LOC_Os10g30610 LOC_Os10g30770 LOC_Os08g28240 LOC_Os01g66270 LOC_Os03g17810 LOC_Os02g33590 LOC_Os02g26430 LOC_Os07g37210 LOC_Os10g37570 LOC_Os04g47630"
"172","11","LOC_Os06g46340 LOC_Os01g43340 LOC_Os03g35600 LOC_Os04g45020 LOC_Os12g06180 LOC_Os05g50920 LOC_Os08g01530 LOC_Os05g31910 LOC_Os06g24490 LOC_Os10g23060 LOC_Os08g28970"
"173","11","LOC_Os02g03600 LOC_Os07g36870 LOC_Os01g08010 LOC_Os06g46390 LOC_Os03g40000 LOC_Os04g32770 LOC_Os08g27140 LOC_Os01g37670 LOC_Os08g36170 LOC_Os01g62360 LOC_Os11g04850"
"174","11","LOC_Os08g24790 LOC_Os01g61160 LOC_Os03g17350 LOC_Os07g40910 LOC_Os08g37300 LOC_Os10g37400 LOC_Os11g31090 LOC_Os07g40870 LOC_Os07g40850 LOC_Os06g16350 LOC_Os07g40890"
"175","11","LOC_Os02g58100 LOC_Os06g28630 LOC_Os07g27880 LOC_Os10g42800 LOC_Os03g19240 LOC_Os06g47910 LOC_Os10g22600 LOC_Os03g26930 LOC_Os03g17590 LOC_Os03g52160 LOC_Os09g27940"
